auditid,auditreporttype,auditscore,audittime,criticalcount,date,eventtime,highcount,level,logdesc,logid,lowcount,mediumcount,passedcount,subtype,time,type,tz,vd
1721545125773,PostureReport,-565,1721545156,2,21/07/2024,1.72155E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,07:59:16,event,100,root
1721545125773,OptimizationReport,-195,1721545156,0,21/07/2024,1.72155E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,07:59:16,event,100,root
1721545125773,CoverageReport,50,1721545155,2,21/07/2024,1.72155E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,07:59:16,event,100,root
1721530125766,PostureReport,-565,1721530157,2,21/07/2024,1.72153E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,03:49:18,event,100,root
1721530125766,OptimizationReport,-195,1721530157,0,21/07/2024,1.72153E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,03:49:17,event,100,root
1721530125766,CoverageReport,50,1721530155,2,21/07/2024,1.72153E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,03:49:16,event,100,root
1721515125764,PostureReport,-565,1721515157,2,20/07/2024,1.72152E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,23:39:18,event,100,root
1721515125764,OptimizationReport,-195,1721515157,0,20/07/2024,1.72152E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,23:39:18,event,100,root
1721515125764,CoverageReport,50,1721515155,2,20/07/2024,1.72152E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,23:39:16,event,100,root
1721500125764,PostureReport,-565,1721500157,2,20/07/2024,1.7215E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,19:29:18,event,100,root
1721500125764,OptimizationReport,-195,1721500157,0,20/07/2024,1.7215E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,19:29:17,event,100,root
1721500125764,CoverageReport,50,1721500156,2,20/07/2024,1.7215E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,19:29:16,event,100,root
1721485125752,PostureReport,-565,1721485158,2,20/07/2024,1.72149E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,15:19:18,event,100,root
1721485125752,OptimizationReport,-195,1721485157,0,20/07/2024,1.72149E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,15:19:18,event,100,root
1721485125752,CoverageReport,50,1721485155,2,20/07/2024,1.72149E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,15:19:16,event,100,root
1721470125756,PostureReport,-565,1721470156,2,20/07/2024,1.72147E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,11:09:16,event,100,root
1721470125756,OptimizationReport,-195,1721470155,0,20/07/2024,1.72147E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,11:09:16,event,100,root
1721470125756,CoverageReport,50,1721470155,2,20/07/2024,1.72147E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,11:09:15,event,100,root
1721455125733,PostureReport,-565,1721455156,2,20/07/2024,1.72146E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,06:59:16,event,100,root
1721455125733,OptimizationReport,-195,1721455156,0,20/07/2024,1.72146E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,06:59:16,event,100,root
1721455125733,CoverageReport,50,1721455155,2,20/07/2024,1.72146E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,06:59:16,event,100,root
1721440125723,PostureReport,-565,1721440157,2,20/07/2024,1.72144E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,02:49:17,event,100,root
1721440125723,OptimizationReport,-195,1721440157,0,20/07/2024,1.72144E+18,0,notice,Security Rating summary,110052000,2,1,7,security-rating,02:49:17,event,100,root
1721440125723,CoverageReport,50,1721440155,2,20/07/2024,1.72144E+18,1,notice,Security Rating summary,110052000,0,1,12,security-rating,02:49:15,event,100,root
1721425125724,PostureReport,-565,1721425157,2,19/07/2024,1.72143E+18,3,notice,Security Rating summary,110052000,0,3,117,security-rating,22:39:18,event,100,root
