action,assigned,bandwidth,cfgattr,cfgobj,cfgpath,cfgtid,community,cpu,date,dhcp_msg,disk,disklograte,dstip,dstport,duration,eventtime,fazlograte,field,freediskstorage,from,gateway,hostname,interface,ip,lease,level,logdesc,logid,mac,mem,method,msg,mtu,name,new_value,old_value,profile,reason,role,scope,server,setuprate,sn,srcip,srcport,state,status,stitch,stitchaction,subtype,sysuptime,time,total,totalsession,trigger,type,tz,ui,used,user,uuid,vd,version,waninfo
perf-stats,,13606/9574,,,,,,0,2024-07-21,,0,0,,,,1721554427249747580,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  24815, setup-rate: 195",,,,,,,,,,195,,,,,,,,system,502617,10:33:47,,24815,,event,+0100,,,,,root,,"name=port6,bytes=274044718592/34417713547,packets=247667951/99262383;"
login,,,,,,,,,2024-07-21,,,,10.119.0.1,,,1721554427020296602,,,,,,,,,,information,Admin login successful,0100032001,,,https,Administrator admin logged in successfully from https(10.119.14.100),,,,,super_admin,none,,,,,1721554427,10.119.14.100,,,success,,,system,,10:33:46,,,,event,+0100,https(10.119.14.100),,admin,,root,,
,,,,,,,,,2024-07-21,Ack,,,,,,1721554222509796119,,,,,,BUZZ-4-Ultra,VLAN-2,10.119.3.101,604800,information,DHCP Ack log,0100026001,A2:D8:07:0F:2C:0D,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,system,,10:30:22,,,,event,+0100,,,,,root,,
perf-stats,,37972/33668,,,,,,0,2024-07-21,,0,0,,,,1721554127248412787,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  24293, setup-rate: 143",,,,,,,,,,143,,,,,,,,system,502317,10:28:47,,24293,,event,+0100,,,,,root,,"name=port6,bytes=273843896046/34407843781,packets=247483942/99196637;"
,,,,,,,,,2024-07-21,,,,,,,1721554088310747560,,,,,,,,,,notice,FortiGate update succeeded,0100041000,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes from 173.243.140.6:443,,,,,,,,,,,,,,,update,,,system,,10:28:08,,,,event,+0100,,,,,root,,
perf-stats,,22203/19345,,,,,,0,2024-07-21,,0,0,,,,1721553827248965774,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  24397, setup-rate: 200",,,,,,,,,,200,,,,,,,,system,502017,10:23:47,,24397,,event,+0100,,,,,root,,"name=port6,bytes=273638947665/34394247096,packets=247294026/99124642;"
perf-stats,,13654/9770,,,,,,0,2024-07-21,,0,0,,,,1721553527247563006,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  23843, setup-rate: 208",,,,,,,,,,208,,,,,,,,system,501717,10:18:47,,23843,,event,+0100,,,,,root,,"name=port6,bytes=273430272834/34379110673,packets=247097649/99048737;"
perf-stats,,40177/35437,,,,,,0,2024-07-21,,0,0,,,,1721553227252420201,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  23409, setup-rate: 158",,,,,,,,,,158,,,,,,,,system,501417,10:13:47,,23409,,event,+0100,,,,,root,,"name=port6,bytes=273232146986/34366042031,packets=246909944/98977372;"
perf-stats,,47638/53173,,,,,,0,2024-07-21,,0,0,,,,1721552927252310995,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  24174, setup-rate: 153",,,,,,,,,,153,,,,,,,,system,501117,10:08:47,,24174,,event,+0100,,,,,root,,"name=port6,bytes=273037367195/34345750994,packets=246722749/98904268;"
perf-stats,,59307/54873,,,,,,0,2024-07-21,,0,0,,,,1721552627246687688,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  24354, setup-rate: 189",,,,,,,,,,189,,,,,,,,system,500817,10:03:47,,24354,,event,+0100,,,,,root,,"name=port6,bytes=272830316492/34317136887,packets=246521703/98822454;"
,,,,,,,,,2024-07-21,,,,,,,1721552332494741652,,,,,,,port1,,,information,DHCP statistics,0100026003,,,,DHCP statistics,,,,,,,,,,,,,,,,,,system,,09:58:52,171,,,event,+0100,,0,,,root,,
,,,,,,,,,2024-07-21,,,,,,,1721552332494738810,,,,,,,mgmt,,,information,DHCP statistics,0100026003,,,,DHCP statistics,,,,,,,,,,,,,,,,,,system,,09:58:52,101,,,event,+0100,,0,,,root,,
,,,,,,,,,2024-07-21,,,,,,,1721552332494737336,,,,,,,fortilink,,,information,DHCP statistics,0100026003,,,,DHCP statistics,,,,,,,,,,,,,,,,,,system,,09:58:52,253,,,event,+0100,,0,,,root,,
,,,,,,,,,2024-07-21,,,,,,,1721552332494735544,,,,,,,VLAN-2,,,information,DHCP statistics,0100026003,,,,DHCP statistics,,,,,,,,,,,,,,,,,,system,,09:58:52,21,,,event,+0100,,17,,,root,,
perf-stats,,41149/36165,,,,,,0,2024-07-21,,0,0,,,,1721552327248385023,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 0, memory:  31, concurrent sessions:  25297, setup-rate: 251",,,,,,,,,,251,,,,,,,,system,500517,09:58:47,,25297,,event,+0100,,,,,root,,"name=port6,bytes=272602185759/34293918467,packets=246306955/98734094;"
update,,,,,,,,,2024-07-21,,,,,,,1721552315302681599,,,,,,,,,,notice,Scanunit reloaded AV Database,0100022813,,,,scanunit=manager pid=3314 cause='signal' AV database reload requested 1 times by updated (pid 3316) successful,,,,,,,,,,,,,,,,,,system,,09:58:35,,,,event,+0100,,,,,root,,
,,,,,,,,,2024-07-21,,,,,,,1721552294266444255,,,,,,,,,,notice,FortiGate update succeeded,0100041000,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes virdb(92.05974) etdb(92.05974) exdb(1.00000) avai(2.17232) mmdb(92.05974) from 173.243.140.6:443,,,,,,,,,,,,,,,update,,,system,,09:58:14,,,,event,+0100,,,,,root,,
,,,,,,,,,2024-07-21,Ack,,,,,,1721552134970068766,,,,,,DESKTOP-OV212SI,VLAN-2,10.119.3.102,604800,information,DHCP Ack log,0100026001,64:6E:E0:1B:84:D8,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,system,,09:55:34,,,,event,+0100,,,,,root,,
perf-stats,,12787/8185,,,,,,1,2024-07-21,,0,0,,,,1721552027250454561,0,,0,,,,,,,notice,System performance statistics,0100040704,,31,,"Performance statistics: average CPU: 1, memory:  31, concurrent sessions:  25663, setup-rate: 186",,,,,,,,,,186,,,,,,,,system,500217,09:53:47,,25663,,event,+0100,,,,,root,,"name=port6,bytes=272397115029/34254851368,packets=246091654/98634037;"
