action,advpnsc,assignip,cookies,date,desc,dir,dst_host,duration,error_num,espauth,esptransform,eventtime,exch,fctuid,group,in_spi,init,level,locip,locport,logdesc,logid,mode,msg,nextstat,out_spi,outintf,peer_notif,phase2_name,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,spi,srccountry,stage,status,subtype,time,tunnelid,tunnelip,tunneltype,type,tz,user,useralt,vd,version,vpntunnel,xauthgroup,xauthuser
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,502795,,,,1721554725568099186,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,466837480,,41.111.161.37,14514,,,559050634,,,Algeria,,,vpn,10:38:46,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469846983290,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721554469846883064,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl-web,event,+0100,putanobu,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469486893433,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469110152702,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:28,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,502195,,,,1721554125568017513,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,465633976,,41.111.161.37,14514,,,557694194,,,Algeria,,,vpn,10:28:46,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554062371622978,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:43,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721554062371511335,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:42,0,,ssl-web,event,+0100,carin.forsemalm,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554052914394687,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:32,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554052471882554,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:32,0,,ssl,event,+0100,N/A,,root,,,,
